Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
HeroAPP,Edge Chromium 115,,,2023-08-25 16:00:49,2023-08-25 16:04:49,3m - 59.291s,PASSED
,,,,,,,
Test Cases/Login/Test Case 1.1(Manual),Edge Chromium 115,Test Case ketika user  login dengan detail yang valid.,,2023-08-25 16:00:50,2023-08-25 16:01:04,14.225s,PASSED
openBrowser(WEB_URL),Edge Chromium 115,,,2023-08-25 16:00:50,2023-08-25 16:00:59,8.552s,PASSED
"verifyElementPresent(findTestObject(""Login/Title_Home_Page""), 10)",Edge Chromium 115,,,2023-08-25 16:00:59,2023-08-25 16:00:59,0.417s,PASSED
"click(findTestObject(""Login/Menu Burger""))",Edge Chromium 115,,,2023-08-25 16:00:59,2023-08-25 16:01:00,0.420s,PASSED
"click(findTestObject(""Login/Menu Login""))",Edge Chromium 115,,,2023-08-25 16:01:00,2023-08-25 16:01:01,1.150s,PASSED
"verifyElementPresent(findTestObject(""Login/Title Login""), 10)",Edge Chromium 115,,,2023-08-25 16:01:01,2023-08-25 16:01:01,0.372s,PASSED
"setText(findTestObject(""Login/input_Username_Login""), username)",Edge Chromium 115,,,2023-08-25 16:01:01,2023-08-25 16:01:02,0.804s,PASSED
"setEncryptedText(findTestObject(""Login/input_Password_Login""), password)",Edge Chromium 115,,,2023-08-25 16:01:02,2023-08-25 16:01:03,0.505s,PASSED
"click(findTestObject(""Login/button_Login""))",Edge Chromium 115,,,2023-08-25 16:01:03,2023-08-25 16:01:04,1.112s,PASSED
"verifyElementPresent(findTestObject(""Login/Title_Make Appointment""), 10)",Edge Chromium 115,,,2023-08-25 16:01:04,2023-08-25 16:01:04,0.375s,PASSED
,,,,,,,
Test Cases/Login/Test Case 1.1(Record),Edge Chromium 115,Test Case ketika user  login dengan detail yang valid.,,2023-08-25 16:01:04,2023-08-25 16:01:19,14.639s,PASSED
"openBrowser("""")",Edge Chromium 115,,,2023-08-25 16:01:04,2023-08-25 16:01:08,3.706s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Edge Chromium 115,,,2023-08-25 16:01:08,2023-08-25 16:01:12,3.583s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service/h1_CURA Healthcare Service""), 0)",Edge Chromium 115,,,2023-08-25 16:01:12,2023-08-25 16:01:12,0.354s,PASSED
