Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
M05,Edge Chromium 116,,,2023-09-06 08:08:34,2023-09-06 08:16:00,7m - 26.030s,FAILED
,,,,,,,
Test Cases/M05 - Employees - Edit Employees - Experience/M05 - Employees - Edit Employees - Experience - 001,Edge Chromium 116,,,2023-09-06 08:08:35,2023-09-06 08:08:49,14.507s,PASSED
openBrowser(url),Edge Chromium 116,,,2023-09-06 08:08:36,2023-09-06 08:08:41,5.202s,PASSED
maximizeWindow(),Edge Chromium 116,,,2023-09-06 08:08:41,2023-09-06 08:08:41,0.552s,PASSED
"setText(findTestObject(""Master/input_email""), email)",Edge Chromium 116,,,2023-09-06 08:08:41,2023-09-06 08:08:43,1.487s,PASSED
"setEncryptedText(findTestObject(""Master/input_password""), pass)",Edge Chromium 116,,,2023-09-06 08:08:43,2023-09-06 08:08:44,0.965s,PASSED
"click(findTestObject(""Master/button_login""))",Edge Chromium 116,,,2023-09-06 08:08:44,2023-09-06 08:08:49,4.816s,PASSED
"verifyElementPresent(findTestObject(""Master/dashboard""), 0)",Edge Chromium 116,,,2023-09-06 08:08:49,2023-09-06 08:08:49,0.659s,PASSED
,,,,,,,
Test Cases/M05 - Employees - Edit Employees - Experience/M05 - Employees - Edit Employees - Experience - 002,Edge Chromium 116,,,2023-09-06 08:08:49,2023-09-06 08:09:03,13.563s,PASSED
"callTestCase(findTestCase(""M05 - Employees - Edit Employees - Experience/M05 - Employees - Edit Employees - Experience - 001""), [""email"":""superadmin@mail.com"", ""pass"":""p4y+y39Ir5Pc2g9xt3QkeQ==""], STOP_ON_FAILURE)",Edge Chromium 116,,,2023-09-06 08:08:50,2023-09-06 08:09:00,9.441s,PASSED
"click(findTestObject(""Edit Employee Experience/employee_sidebar""))",Edge Chromium 116,,,2023-09-06 08:09:00,2023-09-06 08:09:01,1.132s,PASSED
"click(findTestObject(""Edit Employee Experience/dropdown_employee""))",Edge Chromium 116,,,2023-09-06 08:09:01,2023-09-06 08:09:02,1.511s,PASSED
"verifyElementPresent(findTestObject(""Edit Employee Experience/title_Employee""), 0)",Edge Chromium 116,,,2023-09-06 08:09:02,2023-09-06 08:09:03,0.654s,PASSED
,,,,,,,
Test Cases/M05 - Employees - Edit Employees - Experience/M05 - Employees - Edit Employees - Experience - 003,Edge Chromium 116,,,2023-09-06 08:09:03,2023-09-06 08:09:20,17.001s,PASSED
"callTestCase(findTestCase(""M05 - Employees - Edit Employees - Experience/M05 - Employees - Edit Employees - Experience - 002""), [:], STOP_ON_FAILURE)",Edge Chromium 116,,,2023-09-06 08:09:04,2023-09-06 08:09:17,13.552s,PASSED
"click(findTestObject(""Edit Employee Experience/action_edit""))",Edge Chromium 116,,,2023-09-06 08:09:17,2023-09-06 08:09:19,2.010s,PASSED
"verifyElementPresent(findTestObject(""Edit Employee Experience/title_name""), 0)",Edge Chromium 116,,,2023-09-06 08:09:19,2023-09-06 08:09:20,0.530s,PASSED
,,,,,,,
Test Cases/M05 - Employees - Edit Employees - Experience/M05 - Employees - Edit Employees - Experience - 004,Edge Chromium 116,,,2023-09-06 08:09:20,2023-09-06 08:09:43,23.106s,PASSED
"callTestCase(findTestCase(""M05 - Employees - Edit Employees - Experience/M05 - Employees - Edit Employees - Experience - 003""), [:], STOP_ON_FAILURE)",Edge Chromium 116,,,2023-09-06 08:09:21,2023-09-06 08:09:42,20.819s,PASSED
"click(findTestObject(""Edit Employee Experience/experience""))",Edge Chromium 116,,,2023-09-06 08:09:42,2023-09-06 08:09:43,0.768s,PASSED
"verifyElementPresent(findTestObject(""Edit Employee Experience/form_experience""), 0)",Edge Chromium 116,,,2023-09-06 08:09:43,2023-09-06 08:09:43,0.542s,PASSED
,,,,,,,
Test Cases/M05 - Employees - Edit Employees - Experience/M05 - Employees - Edit Employees - Experience - 005,Edge Chromium 116,,,2023-09-06 08:09:43,2023-09-06 08:10:27,44.229s,PASSED
"callTestCase(findTestCase(""M05 - Employees - Edit Employees - Experience/M05 - Employees - Edit Employees - Experience - 004""), [:], STOP_ON_FAILURE)",Edge Chromium 116,,,2023-09-06 08:09:44,2023-09-06 08:10:04,19.471s,PASSED
"setText(findTestObject(""Edit Employee Experience/input_company_name""), company_name)",Edge Chromium 116,,,2023-09-06 08:10:04,2023-09-06 08:10:05,1.427s,PASSED
"input_company_name = getAttribute(findTestObject(""Edit Employee Experience/input_company_name""), ""value"")",Edge Chromium 116,,,2023-09-06 08:10:05,2023-09-06 08:10:06,0.664s,PASSED
"setText(findTestObject(""Edit Employee Experience/input_position""), position)",Edge Chromium 116,,,2023-09-06 08:10:06,2023-09-06 08:10:07,1.568s,PASSED
"input_position = getAttribute(findTestObject(""Edit Employee Experience/input_position""), ""value"")",Edge Chromium 116,,,2023-09-06 08:10:07,2023-09-06 08:10:08,0.673s,PASSED
"setText(findTestObject(""Edit Employee Experience/input_address""), address)",Edge Chromium 116,,,2023-09-06 08:10:08,2023-09-06 08:10:10,1.603s,PASSED
"input_address = getAttribute(findTestObject(""Edit Employee Experience/input_address""), ""value"")",Edge Chromium 116,,,2023-09-06 08:10:10,2023-09-06 08:10:10,0.618s,PASSED
"setText(findTestObject(""Edit Employee Experience/input_working_duration""), working_duration)",Edge Chromium 116,,,2023-09-06 08:10:10,2023-09-06 08:10:12,1.385s,PASSED
"input_working_duration = getAttribute(findTestObject(""Edit Employee Experience/input_working_duration""), ""value"")",Edge Chromium 116,,,2023-09-06 08:10:12,2023-09-06 08:10:12,0.705s,PASSED
"click(findTestObject(""Edit Employee Experience/save_button""))",Edge Chromium 116,,,2023-09-06 08:10:12,2023-09-06 08:10:13,0.793s,PASSED
"verifyElementText(findTestObject(""Edit Employee Experience/message_success""), ""Successfully Updated"")",Edge Chromium 116,,,2023-09-06 08:10:13,2023-09-06 08:10:14,1.056s,PASSED
delay(10),Edge Chromium 116,,,2023-09-06 08:10:14,2023-09-06 08:10:24,10.035s,PASSED
"click(findTestObject(""Edit Employee Experience/experience""))",Edge Chromium 116,,,2023-09-06 08:10:24,2023-09-06 08:10:25,0.976s,PASSED
"table_company_name = getText(findTestObject(""Edit Employee Experience/table_company_name""))",Edge Chromium 116,,,2023-09-06 08:10:25,2023-09-06 08:10:26,0.626s,PASSED
